Change Component Designator: Old Designator=D? New Designator=D4
Change Component Designator: Old Designator=P? New Designator=P5
Change Component Designator: Old Designator=P? New Designator=P6
Change Component Designator: Old Designator=R? New Designator=R5
Change Component Designator: Old Designator=R? New Designator=R11
Change Component Designator: Old Designator=SW? New Designator=SW1
Change Component Designator: Old Designator=SW? New Designator=SW2
Change Component Designator: Old Designator=SW? New Designator=SW1
Change Component Designator: Old Designator=SW? New Designator=SW2
Change Component Designator: Old Designator=SW? New Designator=SW1
Change Component Designator: Old Designator=SW? New Designator=SW2
Change Component Designator: Old Designator=SW? New Designator=SW1
Change Component Designator: Old Designator=SW? New Designator=SW2
